firma1,beziehung,firma2
"Lobbe Industrieservice GmbH & Co. KG Niederlassung Ost, Betriebsstätte Rositz",hat die Muttergesellschaft,Lobbe Industrieservice GmbH & Co. KG
Schlachthof Jena,hat die Muttergesellschaft,Vieh- und Fleischhandel Uta Voigt-Jacob
Schmalkalden Stadtreinigung GmbH Betriebsstätte DBG Melkers,hat die Muttergesellschaft,Schmalkalden Stadtreinigung GmbH
Schweinemastanlage Jückelberg,hat den Betreiber,Agrargenossenschaft Jückelberg eG
Schweinemastanlage Kleintauschwitz,hat den Betreiber,Agrargenossenschaft Dobitschen e.G.
Schweinemastanlage Langenwetzendorf,hat die Muttergesellschaft,FLESIMA Fleischschweinemast GmbH
Schweinemastanlage Waltersdorf,hat den Betreiber,Kriebitzscher Agrargenossenschaft e.G.
Schweinezuchtanlage Löbichau,hat die Muttergesellschaft,Agrargenossenschaft Nöbdenitz e.G.
Stadtverw. Erfurt Tiefbau- und Verkehrsamt Entwässerungsbetrieb,hat die Muttergesellschaft,Stadtverwaltung Erfurt Tiefbau u. Verkehrsamt Entwässerungsbetrieb
Stadtwerke Erfurt / HKW Ost,hat die Muttergesellschaft,Stadtwerke Erfurt Energie GmbH
SUC Entsorgung GmbH Ohrdruf,hat die Muttergesellschaft,SUC Sächsische Umweltschutz Consulting GmbH Dresden
SUC Entsorgung GmbH Ohrdruf,hat den Betreiber,wie Name
Thüringer Frischeier / Hennen Wandersleben,hat die Muttergesellschaft,Thüringer Frischeier Wandersleben GmbH Zweigniederlassung der Sachsen-Ei GmbH
Umweltschutz Ost GmbH Niederlassung Contamex Kriebitzsch,hat die Muttergesellschaft,Umweltschutz Ost GmbH
Werzalit AG und Co. Eichsfelder Sperrholzwerk,hat die Muttergesellschaft,Werzalit AG und Co.
Werzalit AG und Co. Eichsfelder Sperrholzwerk,hat den Betreiber,Dr.Jürgen Kreiter
Wiegel Jena Feuerverzinken GmbH & Co KG,hat die Muttergesellschaft,Wiegel Verwaltung GmbH & Co. KG
ZASO Abfallbehandlungszentrum (ABZ) Wiewärthe,hat die Muttergesellschaft,Zweckverband Abfallwirtschaft Saale-Orla (ZASO) ABZ Wiewärthe
Zweckverband Wasser/ Abwasser Mittleres Elstertal Klärwerk Gera,hat die Muttergesellschaft,Zweckverband Wasser/ Abwasser Mittleres Elstertal
Zweckverband Wasser/ Abwasser Mittleres Elstertal Klärwerk Gera,hat den Betreiber,OTWA
Sonderabfalldeponie Aga,hat die Muttergesellschaft,Geraer Stadtwirtschaft GmbH
Deponie Debragraben,hat die Muttergesellschaft,ZASO Zweckverband Abfallwirtschaft Saale-Orla
Deponie Rehestädt,hat die Muttergesellschaft,Zweckverband Restabfallbehandlung Mittelthüringen
SWE Stadtwirtschaft GmbH / Deponie Schwerborn,hat die Muttergesellschaft,SWE Stadtwirtschaft GmbH
Hausmülldeponie Gera-Untitz,hat die Muttergesellschaft,AWV
Wasser- und Abwasserzweckverband Gotha und Landkreisgemeinden,hat die Muttergesellschaft,Wasser- und Abwasserzweckverband Gotha und  Landkreisgemeinden
Deponie Mihla-Buchenau,hat die Muttergesellschaft,AZV Wartburgkreis-Stadt Eisenach
SCHOTT Jenaer Glas GmbH,hat den Betreiber,SCHOTT JENAer GLAS GmbH
GVV BW Roßleben,hat die Muttergesellschaft,GVV mbH
"ae druckguss gerstungen gmbh & co kg Werk I (aedg I), Betriebsstätte Im Unterfeld",hat die Muttergesellschaft,"ae druckguss gmbh & co kg Werk I, Betriebstätte Im Unterfeld"
"ae druckguss gerstungen gmbH & co kg Werk II (aedg II), Betriebsstätte Am Kreuzweg",hat die Muttergesellschaft,"ae druckguss gmbH & co kg Werk II, Betriebsstätte Am Kreuzweg"
