firma1,beziehung,firma2
Biomasse-Heizkraftwerk Traunreut,hat die Muttergesellschaft,Evonik STEAG GmbH
Biomasse-Heizkraftwerk Traunreut,hat den Betreiber,Evonik New Energies GmbH
"Stadt Bamberg, Entsorgungs- und Baubetrieb Kläranlage",hat den Betreiber,"Stadt Bamberg, Entsorgungs- und Baubetrieb"
Klärwerk Schweinfurt,hat die Muttergesellschaft,Stadtentwässerung Schweinfurt
Klärwerk Nürnberg II,hat die Muttergesellschaft,Stadt Nürnberg - Stadtentwässerung und Umweltanalytik (SUN)
RIBE Verbindungstechnik GmbH & Co. KG Werk 2,hat die Muttergesellschaft,RIBE Verbindungstechnik GmbH & Co. KG
Schaeffler KG Standort Herzogenaurach,hat die Muttergesellschaft,Schaeffler KG
Heizkraftwerk an der Friedensbrücke,hat die Muttergesellschaft,Heizkraftwerk Würzburg GmbH
Deponie Wonfurt,hat die Muttergesellschaft,Abfallwirtschaftsbetrieb des Landkreises Haßberge
Poligrat GmbH,hat den Betreiber,S. Pießlinger-Schweiger
BASF Construction Polymers GmbH,hat die Muttergesellschaft,BASF Bauchemie GmbH
Deponie Neuses (Stadt Schwabach),hat die Muttergesellschaft,Schwabacher-Abfallwirtschafts-GmbH
Zentralkläranlage Ansbach,hat die Muttergesellschaft,Abwasserentsorgung Ansbach
Müllverbrennungsanlage,hat die Muttergesellschaft,Abfallwirtschaft und Stadtreinigungsbetrieb Nürnberg
Müllheizkraftwerk Bamberg,hat die Muttergesellschaft,Zweckverband Müllheizkraftwerk Stadt und Landkreis Bamberg
Tierkörperbeseitigungsanstalt Gunzenhausen,hat die Muttergesellschaft,Zweckverband für Tierkörperbeseitigung Gunzenhausen
"Honsel AG, Druckguss Nürnberg, Werk 1",hat die Muttergesellschaft,"Honsel AG, Meschede"
"Honsel AG, Druckguss Nürnberg, Werk 1",hat den Betreiber,"Honsel AG , Druckguss Werk Nürnberg"
ZAB Amberg-Kümmersbruck - Klärwerk Theuern,hat die Muttergesellschaft,Zweckverband für Abwasserbeseitigung der Stadt Amberg und der Gemeinde Kümmersbruck
Klärwerk Bayreuth,hat die Muttergesellschaft,Stadt Bayreuth -Stadtbauhof-
Baufeld Chemie GmbH - Tanklager Oberhausen,hat die Muttergesellschaft,Puralube Services GmbH
Baufeld Chemie GmbH - Tanklager Oberhausen,hat den Betreiber,Baufeld Chemie GmbH
REMONDIS Electrorecycling GmbH,hat die Muttergesellschaft,REMONDIS Electrorecycling GmbH Rückbauzentrum Baar-Ebenhausen
Südfleisch  Waldkraiburg GmbH,hat die Muttergesellschaft,Südfleisch Holding AG
Südfleisch  Waldkraiburg GmbH,hat den Betreiber,Südfleisch Waldkraiburg GmbH
SCA Packaging Containerboard Deutschland GmbH Werk Aschaffenburg,hat die Muttergesellschaft,SCA Packaging Containerboard Deutschland GmbH
Geiger Wilhelm GmbH & Co. KG - RCR Recycling-Center Regenstauf - Thema-Bau Pilz,hat den Betreiber,Geiger Wilhelm GmbH & Co. KG - RCR Recycling-Center Regenstauf
FRIPA Papierfabrik Albert Friedrich,hat den Betreiber,FRIPA Papierfabrik Albert Friedrich KG
"TWD Fibres GmbH, Werk Seebach",hat die Muttergesellschaft,TWD Fibres GmbH
OMV Werk Burghausen,hat die Muttergesellschaft,OMV Deutschland GmbH
Müllkraftwerk Schwandorf,hat die Muttergesellschaft,Zweckverband Müllverwertung Schwandorf
Josef Scherb,hat die Muttergesellschaft,Josef Scherb Recycling GmbH
GSB Sondermüllsammelstelle Augsburg,hat die Muttergesellschaft,GSB Sonderabfall-Entsorgung Bayern GmbH
GSB Betrieb Aschaffenburg,hat die Muttergesellschaft,GSB Sonderabfall-Entsorgung Bayern GmbH
GSB Betrieb München,hat die Muttergesellschaft,GSB Sonderabfall-Entsorgung Bayern GmbH
GSB Betrieb Schweinfurt,hat die Muttergesellschaft,GSB Sonderabfall-Entsorgung Bayern GmbH
GSB Ebenhausen,hat die Muttergesellschaft,GSB Sonderabfall-Entsorgung Bayern GmbH
"MD Papier GmbH, Werk Plattling",hat die Muttergesellschaft,MD Papier GmbH
Klärwerk Aschaffenburg,hat die Muttergesellschaft,Stadt Aschaffenburg Tiefbauamt
MAN Nutzfahrzeuge AG Werk München,hat die Muttergesellschaft,MAN Nutzfahrzeuge AG
Klärwerk Straubing,hat die Muttergesellschaft,"Stadt Straubing, Tiefbauamt"
Fritsche GmbH,hat den Betreiber,Rudolf Fritsche GmbH
Deponie München NORDWEST,hat die Muttergesellschaft,Abfallwirtschaftsbetrieb München
Müllheizkraftwerk Kempten,hat die Muttergesellschaft,ZAK Holding GmbH
Müllheizkraftwerk Kempten,hat den Betreiber,ZAK Energie GmbH
Deponie Augsburg-Nord,hat die Muttergesellschaft,Stadt  Augsburg Referat 2
Deponie Augsburg-Nord,hat den Betreiber,Abfallwirtschaft und Stadtreinigungsbetrieb der Stadt Augsburg
Klärwerk Coburg,hat die Muttergesellschaft,Kommunalunternehmen Coburger Entsorgungs- und Baubetrieb AöR
FUERTH,hat die Muttergesellschaft,Stadt Fürth - Stadtentwässerungsbetrieb (StEF)
BAZ Behandlungsanlage Zwischenlager Gunzenhausen,hat die Muttergesellschaft,Rudolf Ernst GmbH & Co. KG
Deponie Am Silberberg,hat die Muttergesellschaft,Abfall-ZV Stadt u.Landkreis Hof
Klärwerk Augsburg,hat die Muttergesellschaft,Abwasserbetrieb der Stadt Augsburg
Diehl Metall Stiftung & Co. KG Standort Röthenbach,hat die Muttergesellschaft,Diehl Metall Stiftung & Co. KG
"Evonik Degussa GmbH, Werk Münchsmünster",hat die Muttergesellschaft,Evonik Degussa GmbH
"UPM-Kymmene Papier GmbH & Co. KG, Werk Augsburg",hat die Muttergesellschaft,UPM-Kymmene Oy
Solnhofer-Portland-Zementwerke GmbH & Co.KG,hat die Muttergesellschaft,Solnhofer Holding AG
Solnhofer-Portland-Zementwerke GmbH & Co.KG,hat den Betreiber,Solnhofer Portland-Zementwerke GmbH & Co.KG
"AlzChem Hart GmbH, Werk Hart II",hat die Muttergesellschaft,AlzChem Hart GmbH
Asphaltmischanlage Nußdorf,hat die Muttergesellschaft,Swietelsky Baugesellschaft mbH
Deponie Gosberg,hat die Muttergesellschaft,"Landkreis Forchheim, Landratsamt Forchheim"
Deponie Breitenbrunn (HMD),hat die Muttergesellschaft,Landkreis Unterallgäu
"Süd-Chemie AG, Standort Moosburg",hat die Muttergesellschaft,Süd-Chemie AG
BBR Bodenreinigungszentrum Roth,hat die Muttergesellschaft,Bilfinger Berger Entsorgung Süd GmbH
Deponie Wirmsthal,hat die Muttergesellschaft,S.D.R. Biotec Verfahrenstechnik GmbH
Deponie Wirmsthal,hat die Muttergesellschaft,Kommunalunternehmen des Landkreises Bad Kissingen
GSB Betrieb Mitterteich,hat die Muttergesellschaft,GSB Sonderabfall-Entsorgung Bayern GmbH
Baumann Druck GmbH & Co. KG,hat die Muttergesellschaft,Baumann GmbH + Co KG
Bayerische Milchindustrie eG Werk Zapfendorf,hat die Muttergesellschaft,Bayerische Milchindustrie eG
Borealis Polymere GmbH Werk Burghausen,hat die Muttergesellschaft,Borealis Polymere Holding AG
Borealis Polymere GmbH Werk Burghausen,hat den Betreiber,Borealis Polymere GmbH
Mineralölhandel Hans Schmidt GmbH & Co. KG,hat die Muttergesellschaft,"Mineralölhandel Hans Schmidt GmbH & Co. KG Mühltalstr. 24, 90766 Fürth"
Mineralölhandel Hans Schmidt GmbH & Co. KG,hat den Betreiber,Gerhard Schmidt & Werner Schmidt
Huhtamaki Deutschland GmbH & Co KG,hat die Muttergesellschaft,Huhtamaki Deutschland GmbH & Co. KG
Mineralölhandel Hans Schmidt GmbH & Co. KG,hat die Muttergesellschaft,"Mineralölhandel Hans Schmidt GmbH & Co. KG Mühltalstr. 24, 90766 Fürth"
Mineralölhandel Hans Schmidt GmbH & Co. KG,hat den Betreiber,Gerhard Schmidt & Werner Schmidt
Böhme Clopay GmbH,hat den Betreiber,Clopay Dombühl GmbH
Recyclinganlage Am Schellenberg,hat die Muttergesellschaft,BSR Bodensanierung Recycling GmbH
Siemens AG Healthcare Sector,hat die Muttergesellschaft,Siemens AG
Akkumulatoren- u. E-Werk,hat die Muttergesellschaft,F. X. Mittermaier & Söhne GmbH & Co. KG
Leipa Georg Leinfelder GmbH,hat die Muttergesellschaft,LEIPA Georg Leinfelder GmbH
Tierkörperbeseitigungsanlage Kraftisried GmbH,hat die Muttergesellschaft,Berndt GmbH
Würzburger Versorgungs- und Verkehrs-GmbH - Deponie Hopferstadt,hat die Muttergesellschaft,"Zweckverband Abfallwirtschaft, Würzburg"
Bayern-Chemie GmbH,hat die Muttergesellschaft,LFK GmbH
Deponie Karlstadt,hat die Muttergesellschaft,Landkreis Main-Spessart
Deponie Dettendorf Diespeck,hat die Muttergesellschaft,Landkreis Neustadt a.d. Aisch-Bad Windsheim
Sonderabfalldeponie Schwabach,hat die Muttergesellschaft,Staatsbetrieb Sonderabfalldeponien im StMUG
Herbert Reinmuth GmbH,hat die Muttergesellschaft,Herbert Reinmuth GmbH Galvanik
Kennametal Produktions GmbH & Co. KG,hat die Muttergesellschaft,Kennametal Produktions Services GmbH
Bodycote Surface Engineering GmbH & Co KG,hat den Betreiber,Bodycote Surface Engineering & Co KG
ESK Ceramics GmbH & Co. KG,hat die Muttergesellschaft,"Ceradyne Inc., Costa Mesa, California, USA"
Dynamit Nobel Kunststoff GmbH,hat den Betreiber,Plastal GmbH
Richard Geiss GmbH - Deponiewanne Offingen,hat die Muttergesellschaft,Richard Geiss GmbH
Deponie Rothmühle (AES),hat die Muttergesellschaft,Landkreis Schweinfurt
Deponie Rothmühle (AES),hat den Betreiber,Abfall und Energie Schweinfurt-Land GmbH
Klärwerk Steinhäule,hat die Muttergesellschaft,Zweckverband Klärwerk Steinhäule
"Clariant Produkte (Deutschland) GmbH, Werk Gersthofen",hat die Muttergesellschaft,Clariant Produkte (Deutschland) GmbH
Druckguss Hof GmbH,hat die Muttergesellschaft,DGH-Group - Druckguss Heidenau GmbH
Kläranlage Günzburg,hat die Muttergesellschaft,Stadtwerke Günzburg
RWE Dea AG Speicherbetriebe Bayern Erdgasspeicher Inzenham,hat die Muttergesellschaft,RWE Dea AG
"HeidelbergCement AG, Zementwerk Burglengenfeld",hat die Muttergesellschaft,Spohn Cement GmbH
"HeidelbergCement AG, Zementwerk Burglengenfeld",hat den Betreiber,HeidelbergCement AG
CREATON AG Werk Autenried,hat die Muttergesellschaft,CREATON AG
BAYERNOIL Betriebsteil Vohburg,hat die Muttergesellschaft,BAYERNOIL Raffineriegesellschaft mbH
Deponie Eberstetten II,hat die Muttergesellschaft,Zweckverband Müllverwertungsanlage Ingolstadt
"E.ON Kraftwerke GmbH, Kraftwerk Ingolstadt",hat die Muttergesellschaft,E.ON Kraftwerke GmbH
Zech Umwelt GmbH - BRA Nürnberg,hat die Muttergesellschaft,Zech Umwelt GmbH
Werk Betzigau,hat die Muttergesellschaft,Wilhelm Geiger GmbH & Co. KG
Brüterei Süd - Farm Kaulhausen,hat die Muttergesellschaft,Brüterei Süd ZN der BWE-Brüterei Weser-Ems GmbH & Co. KG
Brüterei Süd - Farm Oberhub,hat die Muttergesellschaft,Brüterei Süd ZN der BWE-Brüterei Weser-Ems GmbH & Co. KG
Deponie Cronheim,hat die Muttergesellschaft,Städtereinigung Rudolf Ernst GmbH & Co. KG
Wirth GmbH Standort Wachenroth,hat die Muttergesellschaft,"Wichmann Holding GmbH, 49696 Molbergen-Ermke"
Wirth GmbH Standort Wachenroth,hat den Betreiber,Wirth GmbH
Gesellschaft für die Haltung von Betriebsanlagengenehmigungen im Hagenauer Forst mbH,hat den Betreiber,TDW GmbH
Sonderabfalldeponie Raindorf,hat die Muttergesellschaft,Staatsbetrieb Sonderabfalldeponien im StMUGV
"Sickerwasseraufbereitungsanlage Deponie Hegnenbach, Kläranlage Zusamzell",hat die Muttergesellschaft,Enviro-Chemie GmbH
"Sickerwasseraufbereitungsanlage Deponie Hegnenbach, Kläranlage Zusamzell",hat den Betreiber,Abfallwirtschaftsbetrieb des Landkreises Augsburg
BAM Erding,hat die Muttergesellschaft,Bayerische Asphalt-Mischwerke GmbH & Co. KG
BAM Erding,hat den Betreiber,BAM
ISAR Hofolding,hat die Muttergesellschaft,ISAR Asphalt-Mischwerke GmbH & Co.
ISAR Hofolding,hat den Betreiber,BAM
Deponie Nürnberg Süd,hat die Muttergesellschaft,Abfallwirtschaft und Stadtreinigungsbetrieb Nürnberg
Müllumladestation Erlenbach,hat die Muttergesellschaft,Landkreis Miltenberg
"Deponie Heinersgrund, Zwischenlager Bayreuth",hat die Muttergesellschaft,Zweckverband Müllverwertung Schwandorf
Sonderabfalldeponie Gallenbach,hat die Muttergesellschaft,Staatsbetrieb Sonderabfalldeponien im StMUGV
"Deponie Silberberg, Zwischenlager Hof",hat die Muttergesellschaft,Zweckverband Müllverwertung Schwandorf
"E.ON Ruhrgas AG, Unterreit Speicher Bierwang",hat die Muttergesellschaft,E.ON Ruhrgas AG
Bodenbehandlungsanlage Biburg,hat die Muttergesellschaft,"ARGE AZ Biburg, Ecosoil Süd GmbH, Geodur Recycling AG, Tongrube Stulln GmbH"
Peguform GmbH Neustadt,hat die Muttergesellschaft,Peguform GmbH
Deponie Außernzell,hat die Muttergesellschaft,AWG Donau Wald mbH
Deponie und Abfallentsorgungszentrum Erbenschwang,hat die Muttergesellschaft,Erbenschwanger Verwertungs- und Abfallentsorgungs-Gesellschaft mbH
Carnuth KG,hat den Betreiber,H.Carnuth KG
Deponie Binsberg,hat die Muttergesellschaft,Abfallwirtschaftssverband Nordschwaben
"E.ON Kraftwerke GmbH, Kraftwerk Zolling",hat die Muttergesellschaft,E.ON Kraftwerke GmbH
SWM Heizwerk Perlach,hat die Muttergesellschaft,SWM Services GmbH
SWM Heizwerk Perlach,hat den Betreiber,SWM Services GmbH Technik u. Produktion
Biomasse-Heizkraftwerk Neufahrn,hat die Muttergesellschaft,Evonik STEAG GmbH
Biomasse-Heizkraftwerk Neufahrn,hat den Betreiber,Evonik New Energies GmbH
Deponie Schafweide,hat die Muttergesellschaft,Landkreis Ebersberg
BAYERNOIL Betriebsteil Ingolstadt,hat die Muttergesellschaft,BAYERNOIL Raffineriegesellschaft mbH
Danone GmbH Werk Rosenheim,hat die Muttergesellschaft,Danone GmbH
"Wacker Chemie AG, Werk Burghausen",hat die Muttergesellschaft,Wacker Chemie AG
"Wacker Polymer SYSTEMS GmbH & Co. KG, Burghausen",hat die Muttergesellschaft,Wacker Polymer SYSTEMS GmbH & Co. KG
"Wacker Polymer SYSTEMS GmbH & Co. KG, Burghausen",hat den Betreiber,Wacker Polymer Systems GmbH & Co. KG
Petroplus Raffinerie Ingolstadt GmbH,hat die Muttergesellschaft,Petroplus Holding AG
Privatbrauerei Erdinger Weißbräu Werner Brombach GmbH,hat die Muttergesellschaft,Erdinger Weißbräu GmbH
"AZV München-Ost, Klärwerk Neufinsing",hat die Muttergesellschaft,Abwasserzweckverband München-Ost
Staatliche Molkerei Weihenstephan GmbH & Co. KG,hat die Muttergesellschaft,Unternehmensgruppe Theo Müller GmbH & Co. KG
Staatliche Molkerei Weihenstephan GmbH & Co. KG,hat den Betreiber,Staatliche Molkerei Weihenstephan GmbH & Co. KG Herr Stefan Halmel
Kläranlage Freising,hat die Muttergesellschaft,Stadt Freising - Stadtentwässerung
REMONDIS Medison GmbH Niederlassung Olching,hat die Muttergesellschaft,REMONDIS Medison GmbH Hauptverwaltung Lünen
REMONDIS Medison GmbH Niederlassung Olching,hat den Betreiber,REMONDIS Medison GmbH
Astrium GmbH Standort Ottobrunn,hat die Muttergesellschaft,EADS NV
Astrium GmbH Standort Ottobrunn,hat den Betreiber,Astrium GmbH
"AlzChem Trostberg GmbH, Werk Schalchen",hat die Muttergesellschaft,AlzChem Trostberg GmbH
EHG Recycling GmbH Standort Egerer I,hat die Muttergesellschaft,EHG Recycling GmbH
Klärwerk Landshut,hat die Muttergesellschaft,Stadtwerke Landshut Abt. Abwasserbes./Klärwerk
Schlachthof Passau GmbH,hat die Muttergesellschaft,Schlachhof Passau GmbH
Bayerische Milchindustrie eG Werk Winzer,hat die Muttergesellschaft,Bayerische Milchindustrie eG
F.X. Nachtmann Bleikristallwerke GmbH Werk Riedlhütte,hat die Muttergesellschaft,F.X. Nachtmann Bleikristallwerke GmbH
BAYERNOIL Betriebsteil Neustadt,hat die Muttergesellschaft,BAYERNOIL Raffineriegesellschaft mbH
Blümel GmbH,hat den Betreiber,Blümel Albert
RW silicium GmbH - Werk Pocking,hat die Muttergesellschaft,RW silicium GmbH
Herbert Bauer GmbH & Co.KG,hat die Muttergesellschaft,Herbert Bauer GmbH & Co. Oberflächentechnik-Stahlbau-Rohrwerk KG
Herbert Bauer GmbH & Co.KG,hat den Betreiber,Bauer Alois
Knorr Bremse SfN GmbH Standort Aldersbach,hat die Muttergesellschaft,"Knorr-Bremse-SfN GmbH Moosacher Straße 80, 80809 München"
Knorr Bremse SfN GmbH Standort Aldersbach,hat den Betreiber,Knorr-Bremse-SfN GmbH
Kristallglasfabrik Spiegelau GmbH Werk Frauenau,hat die Muttergesellschaft,Kristallglasfabrik Spiegelau GmbH
"REHAU AG + Co, Werk 11 Viechtach",hat die Muttergesellschaft,REHAU AG + Co
BMW Werk Dingolfing 02.40,hat die Muttergesellschaft,Bayerische Motorenwerke AG
SWM Heizkraftwerk Nord,hat die Muttergesellschaft,SWM Services GmbH
SWM Heizkraftwerk Nord,hat den Betreiber,SWM Services GmbH Technik u. Produktion
Hasselbacher GmbH & Co. Schrott u. Metallhandels GmbH,hat die Muttergesellschaft,Hasselbacher GmbH & Co. Schrott- u. Metallhandels KG
Hasselbacher GmbH & Co. Schrott u. Metallhandels GmbH,hat den Betreiber,Hasselbacher GmbH Metallrecycling
"EVO-Heizkraftwerk, Offenbach",hat die Muttergesellschaft,Energieversorgung Offenbach AG (EVO)
OTC Oberflächentechnik Calbe GmbH & Co. KG Feuerverzinkerei Heinebach,hat die Muttergesellschaft,OTC Oberflächentechnik Calbe GmbH &Co. KG
ZKW Otterbein Zementwerk,hat die Muttergesellschaft,Zement- und Kalkwerke Otterbein GmbH & Co. KG
Essex Germany GmbH (ehemals  Nexans  Lacroix + Kress) Werk Bad Arolsen,hat die Muttergesellschaft,Essex Germany GmbH
Adam Opel GmbH PKZ 53-40 z.Hd. Herrn H. Reinhard,hat die Muttergesellschaft,Adam Opel GmbH
"EAD, Recyc.- Lagerung, Eckhardwiesenstr. auf der Bio- Kompostierungsanlage Darmstadt",hat die Muttergesellschaft,Magistrat der Stadt Darmstadt Eigenbetrieb Abfallwirtschaft u. Stadtreinigung (EAD)
"DZV, Entsorgungszentrum Wabern",hat die Muttergesellschaft,DZV Deponiezweckverband Schwalm-Eder-Kreis und Landkreis Marburg-Biedenkopf
Abfallentsorgung Kreis Kassel Deponie Kirschenplantage,hat die Muttergesellschaft,Abfallentsorgung Kreis Kassel - Eigenbetrieb  -
MHKW Kassel,hat die Muttergesellschaft,Müllheizkraftwerk Kassel GmbH
Abwasserverband Fulda Verbandsklärwerk Gläserzell,hat die Muttergesellschaft,Abwasserverband Fulda
ACI Recycling GmbH,hat den Betreiber,Tim Streb
Hauptklärwerk Wiesbaden,hat die Muttergesellschaft,Entsorgungsbetriebe der LHST Wiesbaden
"Agfa Gevaert Graphic Systems GmbH, Werk Wi",hat die Muttergesellschaft,AGFA GEVAERT Graphic Systems GmbH
InfraServ (Kalle-Albert),hat die Muttergesellschaft,InfraServ GmbH & Co Wiesbaden KG
"Clariant Produkte (Deutschland) GmbH, Standort Rhein-Main, Betriebsteil Wiesbaden",hat die Muttergesellschaft,Clariant Verwaltungsgesellschaft mbH + Clariant AG
"Clariant Produkte (Deutschland) GmbH, Standort Rhein-Main, Betriebsteil Wiesbaden",hat den Betreiber,Clariant Produkte (Deutschland) GmbH
Chemagis (Kalle-Albert),hat die Muttergesellschaft,Chemagis (Germany) GmbH
Schaefer Kalk Steeden,hat die Muttergesellschaft,Schaefer Kalk GmbH & Co.KG
Kläranlage Marburg-Cappel,hat die Muttergesellschaft,Abwasserverband Marburg
HeidelbergCement AG   Werk  Wetzlar,hat die Muttergesellschaft,Spohn Cement GmbH
Evonik Röhm GmbH,hat die Muttergesellschaft,Evonik Industries AG
Buderus Edelstahl Band GmbH,hat die Muttergesellschaft,Böhler Uddeholm AG
Wehrhold Oberflächenbehandlungsanlage,hat die Muttergesellschaft,Wehrhold Oberflächenservice GmbH
Smurfit Kappa C. D. Haupt Papier- und Pappenfabrik GmbH,hat die Muttergesellschaft,Smurfit Kappa C. D. Haupt Beteiligungs-GmbH und Co. KG
"Dyckerhoff AG, Werk Amöneburg",hat die Muttergesellschaft,Dyckerhoff AG
Koenigsdorf Oberflächentechnik,hat die Muttergesellschaft,Koenigsdorf Oberflächentechnik GmbH & Co. KG
"Werk Werra, Standort Hattorf",hat die Muttergesellschaft,K+S KALI GmbH
Allessa Syntec GmbH & Co. KG,hat die Muttergesellschaft,Allessa Syntec GmbH
Amt für Straßen und Verkehrswesen,hat die Muttergesellschaft,Amt für Straßen- und Verkehrswesen Eschwege
Abfallentsorgungsanlage (Deponie 'Am Mittelrück') AZV,hat die Muttergesellschaft,Abfallwirtschaft-Zweckverband (AZV) Lkr. Hef-Rof
"KFW, Heizkraftwerk Mittelfeld",hat die Muttergesellschaft,Kasseler Fernwärme GmbH Herr Heinze
Farm-Ei - Sinntal-Oberzell,hat die Muttergesellschaft,Farm-Ei GmbH & Co.KG
Ruwel AG Herstellung von Leiterplatten; Galvanik,hat die Muttergesellschaft,Ruwel AG
Deponie Hailer,hat die Muttergesellschaft,MKK-Eigenbetrieb Abfallwirtschaft
"Frankfurter Entsorgungs- und Service GmbH, Intzestr. 19a",hat die Muttergesellschaft,Frankfurter Entsorgungs- und Service GmbH
Hollingsworth & Vose GmbH,hat die Muttergesellschaft,Hollingsworth & Vose
EVO - MHKW Offenbach,hat die Muttergesellschaft,Energieversorgung Offenbach AG (EVO)
Gaul GmbH u. Co. KG,hat die Muttergesellschaft,Gaul K.H. GmbH u. Co. KG
Ferro GmbH,hat den Betreiber,Dr. Groh
AVA Abfallverbrennungsanlage Nordweststadt GmbH (ehem. Frankfurter Entsorgungs- u. Service GmbH),hat die Muttergesellschaft,Frankfurter Entsorgungs- und Service GmbH
AVA Abfallverbrennungsanlage Nordweststadt GmbH (ehem. Frankfurter Entsorgungs- u. Service GmbH),hat den Betreiber,Müllheizkraftwerk Frankfurt GmbH
"Schneider, Jürgen AAS",hat die Muttergesellschaft,"Schneider, Jürgen"
Ferro GmbH,hat die Muttergesellschaft,Ferro Corporation
"Mainova, HKW West",hat die Muttergesellschaft,"Mainova AG, M1-E, Erzeugung/Asset Heizkraftwerke"
"Mainova, HKW West",hat den Betreiber,"Mainova AG, Abteilung M1-EW"
AZ Electronic Materials (Germany) GmbH,hat die Muttergesellschaft,AZ Electronic Materials (Germany)  GmbH
